File Name,Total Error Number,Spelling Error Number,Grammar Error Number,Punctuation Error Number,Syntax Error Number,Style Error Number,Other Error Number
HSC NOTES.docx,8,0,1,0,3,4,0
geo assessment description.docx,21,6,2,2,4,5,2
Geography assignment (1).docx,0,0,0,0,0,0,0
Geography assignment.docx,5,0,1,0,1,2,1
go.docx,1,0,1,0,0,0,0
natural resource depletion.docx,22,1,5,1,9,5,1
Wadih Tannous Geo Assignment Task 1.docx,20,1,5,1,7,5,1
Week 9 Geo work.docx,6,2,2,1,0,0,1
Case Study- Environmental Change & Management.docx,19,1,5,2,8,2,1
Coastal Environments.docx,15,0,6,1,3,5,0
geo - costal areas .docx,11,0,3,1,5,0,2
Geography Study Notes (1).docx,0,0,0,0,0,0,0
Geography Study Notes.docx,11,0,2,0,8,0,1
How do deposition and erosion change coasts.docx,1,0,0,0,1,0,0
land degradation - 13 Inland water - 14 .docx,19,1,7,0,4,6,1
Constructing population pyramids.docx,19,1,7,0,4,6,1
doc-20598.docx,1,0,0,0,1,0,0
doc-20599.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
Examine the nature of.docx,9,0,4,0,5,0,0
geo scatter graph.docx,9,2,3,0,2,2,0
Geography Debate.docx,0,0,0,0,0,0,0
How do we measure development.docx,2,0,1,0,0,0,1
How does population affect development and wellbeing.docx,3,1,0,0,2,0,0
Interpreting a cartogram.docx,24,1,7,4,7,4,1
What are quantitative indicators.docx,5,0,2,1,2,0,0
What are reasons for internal variations.docx,3,0,2,1,0,0,0
Yr 10 Geo History Integrated Task 2020 (1).docx,12,1,7,0,3,0,1
Yr 10 Geo History Integrated Task 2020 (2) (1).docx,4,0,2,0,1,1,0
Yr 10 Geo History Integrated Task 2020 (3).docx,5,0,3,0,0,2,0
2.2 What are Biomes_.docx,8,0,3,1,1,3,0
2019 Y.9 Geo asessment Task 1 EDITED (1) (1).docx,17,0,8,1,3,5,0
2019 Y.9 Geo asessment Task 1 EDITED (1).docx,3,0,2,1,0,0,0
BIOMES.docx,7,0,1,0,4,2,0
Geography assessment.docx,0,0,0,0,0,0,0
geography crap.docx,23,6,6,0,11,0,0
How have we increased our food.docx,22,0,20,0,1,0,1
5 step plan to feed the world.docx,10,0,2,5,0,2,1
Assess the capacity of biomes to produce food in the future.docx,31,1,20,2,4,4,0
food production essay scaffold .docx,12,2,3,0,4,3,0
Food Security.docx,4,0,2,1,1,0,0
Geo Notes.docx,26,1,8,4,9,3,1
geography 5.10.docx,3,0,1,1,0,1,0
How does water security affect food production.docx,16,1,10,0,1,4,0
Jiggefyyy.docx,8,0,1,1,4,2,0
meals on wheels.docx,6,3,0,1,1,1,0
The hunger project.docx,29,1,9,3,11,4,1
Why do people move to urban places_.docx,13,1,8,1,2,1,0
geogrpahy rat crap.docx,5,0,0,2,0,3,0
Geo multiple choice.docx,11,4,2,0,4,0,1
geography crap harambe allah .docx,1,0,1,0,0,0,0
Proposal.docx,5,0,1,1,0,2,1
The Mind Matters.docx,6,0,5,0,1,0,0
Jayden Okunbor health assignment.docx,1,0,0,0,1,0,0
Health assignment.docx,11,0,5,0,3,3,0
Health Study Notes.docx,19,1,10,1,3,4,0
Coke assignment.docx,27,3,9,0,5,9,1
health bibliography.docx,0,0,0,0,0,0,0
health.docx,15,0,4,4,3,2,2
Assimilation Policy and Forcible Removal.docx,20,0,15,2,2,1,0
History Assignment.docx,0,0,0,0,0,0,0
History source.docx,30,3,9,3,8,6,1
Significance of the UDHR.docx,10,0,9,0,1,0,0
yr 10 History Ass 1 copy.docx,20,0,9,1,7,3,0
yr 10 History Ass 1.docx,6,2,0,0,2,2,0
his study notes wadih tannous (1).docx,9,0,4,1,2,2,0
his study notes wadih tannous.docx,4,0,2,0,2,0,0
Quiz - Civil Rights Movement .docx,4,0,2,0,2,0,0
05 MAD.docx,26,4,3,0,12,5,2
06 Who Won the Space Race.docx,29,5,3,0,12,6,3
07 Space Race Source Analysis Activity.docx,1,0,0,0,1,0,0
History Berlin Wall.docx,4,0,0,2,1,1,0
Agent Orange Video Questions (1).doc,5,0,1,0,1,2,1
Vietnam War.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
history crap.docx,16,4,4,1,5,1,1
Industrial revolution assignment.docx,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
Year 9 Task 1 Industrial Revolution .docx,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
history.docx,1,0,1,0,0,0,0
Adolf Hitler was conceived on April 20.docx,23,4,6,1,4,5,3
HIS 9 WW2 Quiz.docx,21,4,8,1,2,5,1
his 9 ww2 timeline.docx,1,0,1,0,0,0,0
History notes.docx,6,1,0,1,3,1,0
History Semester 2 Study Notes.docx,17,1,3,3,6,2,2
History Study Notes.docx,7,1,4,1,0,1,0
The Treaty of Versailles (1).docx,9,4,5,0,0,0,0
The Treaty of Versailles.docx,32,2,8,2,13,1,6
WWI.docx MC Quiz.docx,10,7,1,0,1,0,1
Lesson for 31-3 and  1-4-2020.docx,46,1,34,1,6,3,1
Drawing Straight Lines Worksheet.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
Maths task.docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
closing Criminal Prosecution (1) (1).docx,27,1,9,0,15,2,0
closing Criminal Prosecution.docx,19,1,10,3,5,0,0
Closing defence criminal.docx,6,1,1,2,1,1,0
Closing Plaintiff Civil round 3 2020 copy.docx,48,1,40,0,6,1,0
Closing Plaintiff Civil.docx,19,2,3,0,7,7,0
closing staement (1).docx,17,2,1,0,9,5,0
closing staement (2).docx,"Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}","Request failed with status code 500: {""ErrorType"":""Server-side error"",""Message"":""An unexpected server error""}"
closing staement copy.docx,26,1,7,1,9,6,2
closing staement.docx,22,1,10,1,7,2,1
Closing Statement Elimination Round 3.docx,29,0,13,1,8,6,1
criminalkhara .docx,25,0,11,1,8,4,1
Mock Trial Questions.docx,24,0,11,1,8,3,1
Nuisance.docx,33,0,14,0,10,8,1
Opening .docx,23,2,13,1,3,2,2
Please state your name and age to the honorable court.docx,20,2,1,0,10,7,0
Professional-and-Legal-Responsibilities-of-Teachers.doc,3,0,2,0,0,0,1
Put it to them.docx,6,0,2,0,2,2,0
questions .docx,10,3,2,0,3,2,0
rou2.docx,5,1,1,0,2,0,1
Round 3 - Plaintiff Script (1) copy-converted.docx,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
So you had been at the three monkeys pub with your good friend.docx,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
Your honour.docx,26,3,8,1,9,4,1
Multimedia.docx,5,1,1,0,3,0,0
Mutlimedia assignment.docx,15,1,6,0,5,3,0
Multimedia Project Folio - WADIH TANNOUS.docx,16,7,2,1,5,1,0
Multimedia Project Folio.docx,11,0,5,0,4,2,0
Multimedia multiple choice.docx,27,0,12,0,8,7,0
multimedia crap.docx,4,0,2,0,0,0,2
multi.docx,2,0,1,0,1,0,0
Multimedia Part B.docx,39,9,5,2,15,5,3
hadame khrits.docx,15,0,1,1,13,0,0
How does the resurrection of Jesus impact.docx,0,0,0,0,0,0,0
Liturgy of the Word schema Sheet Students (1 per group)  (1).docx,28,0,12,2,11,2,1
Religion individual.docx,12,2,2,2,4,1,1
Suffering.docx,28,0,8,2,7,9,2
Yr 10 Religion Notification 2020 Task 1 (1).docx,20,0,4,0,10,4,2
Yr 10 Religion Notification 2020 Task 1.docx,6,0,2,0,0,3,1
a) The Black Death (Causes of the Reformation 1) copy.docx,7,4,1,0,0,2,0
a) The Black Death (Causes of the Reformation 1).docx,12,0,6,0,0,6,0
b) Indulgences (Causes of the Reformation 2).docx,13,0,5,1,4,2,1
c) Martin Luther 2.docx,8,1,3,0,2,1,1
c) Martin Luther.docx,8,1,3,0,2,1,1
e) Catholic Reform _ the Council of Trent (1).docx,15,1,7,1,2,3,1
Lesson 6 reformation recap.docx,16,1,8,1,2,3,1
Lesson 7 Reformers profile.docx,7,0,0,1,1,3,2
Marriage.docx,23,6,6,0,5,2,4
Priesthood.docx,11,1,3,0,3,1,3
Protestants and Catholic (Differences).docx,19,2,2,2,11,1,1
Sacrament of Matrimony.docx,5,3,0,0,2,0,0
Week 7 Mystagogy Activity 2020 Yr 10 Marriage (1).docx,3,1,0,0,2,0,0
Week 7 Mystagogy Activity 2020 Yr 10 Marriage.docx,6,0,3,0,2,1,0
Week 8 The Sacrament of Holy Orders (1).docx,3,0,2,0,0,1,0
Week 8 The Sacrament of Holy Orders (2).docx,0,0,0,0,0,0,0
Week 8 The Sacrament of Holy Orders.docx,12,2,5,0,2,3,0
Abortion is descried as a medical procedure in which a baby is executed inside the mothers womb predominantly for the reason of the mother having an unwanted pregnancy.docx,2,0,0,0,1,0,1
Conscience is the deepest part of the human person.docx,1,0,0,0,1,0,0
Consider whether all citizens within a country have equal access to services.docx,0,0,0,0,0,0,0
Magisterium of the church.docx,0,0,0,0,0,0,0
Moral Decision Making.docx,0,0,0,0,0,0,0
Religion Assignment Wadih Tannous.docx,25,2,7,0,9,4,3
religion lesson 3.docx,1,0,1,0,0,0,0
Religion work term 4.docx,4,3,1,0,0,0,0
Christian Love And The Kingdom Of God.docx,11,1,7,0,2,1,0
Year 9 Mystagogy Template.docx,15,0,7,3,3,1,1
Individual part for religion.docx,1,0,1,0,0,0,0
Liturgy of the Word schema for Students (1 per group).docx,9,0,3,1,3,2,0
Yr 09 Religion Notification 2019 Task 1.docx,3,0,0,0,1,2,0
religion assesmnt.docx,26,1,12,1,3,9,0
Religion.docx,0,0,0,0,0,0,0
Today many people are distancing themselves further from God.docx,16,1,9,0,2,3,1
what is prophey.docx,7,4,1,0,0,2,0
10SRP 2020 (plan).docx,6,0,2,0,2,1,1
EXAMPLES OF PROJECTS 2020.docx,6,0,0,0,3,2,1
Flame tests.docx,12,0,4,1,4,3,0
Logbook.docx,12,4,2,0,2,4,0
Setting up a logbook.docx,29,2,1,3,21,2,0
"Wadih, 10SRP plan template 2020.docx",6,0,2,0,2,2,0
Banquet scene 1971.docx,9,1,3,1,1,3,0
Genetics Terms you NEED to knowwadih.docx,10,7,0,0,3,0,0
history work on tech and crap.docx,11,1,6,0,2,2,0
Lesson 2 - 30.4.20.docx,6,0,4,0,0,0,2
Lesson 3 - 04.04.20 - Elie Joukhadar.docx,24,8,7,0,5,3,1
Lesson 3 - 04.04.20.docx,5,0,2,0,3,0,0
Lesson 4 - 07.04.20.docx,0,0,0,0,0,0,0
Lesson 7 - 13.05.20.docx,5,0,3,0,2,0,0
Lesson 8 - 14.05.20.docx,12,0,4,0,6,2,0
Macmeth work wadih.docx,4,0,2,0,2,0,0
SCIENCE 18th May.docx,1,0,1,0,0,0,0
Science notes.docx,1,0,1,0,0,0,0
wadih.docx,3,0,1,0,0,2,0
A scalar quantity is the actual distance.docx,5,0,2,0,0,3,0
Average Speed (1).docx,13,1,1,2,5,4,0
Average Speed.docx,7,4,0,0,3,0,0
Electricity at work.docx,7,1,0,2,4,0,0
Motion Worksheet.docx,3,0,0,2,0,1,0
Speed and velocity.docx,0,0,0,0,0,0,0
1.5 ANSWERS.docx,0,0,0,0,0,0,0
doc-23490.docx,0,0,0,0,0,0,0
Human Brain.docx,15,0,5,1,9,0,0
Science homework.docx,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
Year 9 Assessment Task 1 2019.docx,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file,Error reading file
Classwork Tuesday 7th May 2019.docx,0,0,0,0,0,0,0
doc-12737.docx,3,0,0,1,1,1,0
doc-12739.docx,7,2,3,0,1,0,1
doc-12740.docx,0,0,0,0,0,0,0
volcanos.docx,14,2,8,0,0,1,3
Mandalins notes.docx,1,0,1,0,0,0,0
Science exam notes.docx,43,10,23,2,4,2,2
Science study notes.docx,7,1,6,0,0,0,0
A wave is made by the movement of a particle.docx,0,0,0,0,0,0,0
Science homework 24.docx,4,2,1,0,1,0,0
Science notes (4).docx,23,0,9,0,10,1,3
Science notes semester 2.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
Mechanical and Electrical Actuation Systems.docx,34,2,8,1,19,4,0
Stem Project Proposal.docx,69,3,16,3,35,9,3
stem.docx,7,0,3,0,1,2,1
Year 10 STEM task 1 2020.docx,5,1,0,0,2,1,1
Stem Project Proposal 2 (1).docx,6,0,1,0,2,2,1
Stem Project Proposal 2.docx,6,0,1,0,2,2,1
Define input and output systems.docx,2,0,1,0,0,0,1
Importance of data collection.docx,24,2,14,4,2,1,1
Space Race.docx,0,0,0,0,0,0,0
mission r ray.docx,1,0,1,0,0,0,0
stem crap end of term.docx,24,2,14,4,1,2,1
Wadih Tannous ISS Stem ass.docx,26,2,14,4,2,3,1
stem assessment.docx,1,0,0,0,1,0,0
stem individual.docx,3,0,1,1,1,0,0
Contents Page.docx,24,2,6,2,10,4,0
static and dynamic.docx,27,2,4,0,13,8,0
Stem ass S2.docx,0,0,0,0,0,0,0
Stem copy.docx,25,0,14,1,6,4,0
commerce notes.docx,1,0,1,0,0,0,0
ENGLISH - Macbeth values.docx,29,0,8,1,10,9,1
English notes.docx,19,0,7,0,5,7,0
A person should be judged on their characteristics.docx,3,0,1,0,1,0,1
Definitions for exam.docx,21,0,8,0,5,8,0
English hw - tom robinsons trial.docx,10,1,2,1,4,2,0
Geography.docx,41,19,4,0,11,6,1
HIstory NOtes copy.docx,12,1,3,0,6,2,0
Key characters in the novel 2.docx,27,6,4,2,11,3,1
Multimedia notes.docx,19,4,6,0,4,5,0
Multimedia Study Notes.docx,2,0,1,0,1,0,0
PDHPE.docx,17,1,3,1,6,6,0
Science notes copy.docx,21,7,2,0,7,3,2
Year 10 English Study Notes (1).docx,4,0,3,0,0,0,1
geonotif.docx,3,0,1,0,1,1,0
historynotif.docx,20,2,4,2,6,4,2
sciencenotif.docx,21,1,3,1,9,3,4
Task 5-yr 10- 5-3- 2020 Exam Notification.docx,8,1,1,0,4,2,0
English Assignment copy.docx,50,6,16,4,14,6,4
English draft (1) (1).docx,3,0,2,0,0,0,1
English draft 2 .docx,0,0,0,0,0,0,0
English Preliminary course 2021.docx,0,0,0,0,0,0,0
english work class gatsby allah.docx,0,0,0,0,0,0,0
Home Burial - Analysis and Questions (1).docx,1,0,1,0,0,0,0
I wake up.docx,29,0,17,3,7,2,0
The Great Gatsby.docx,23,0,9,0,6,8,0
BatmanBeginsJ.docx,24,0,11,1,5,7,0
The statement in which.docx,1,0,1,0,0,0,0
Wadih Tannous.docx,15,2,3,1,5,3,1
zabronskis .docx,18,6,4,1,5,0,2
The Good.docx,53,3,19,0,24,6,1
Wadih Tannous Script.docx,"Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}","Request failed with status code 400: {""ErrorType"":""Illegal parameter value"",""Message"":""The document is too long""}"
01 - Othello - Module Intro (new).docx,6,0,2,1,3,0,0
Othello is just as much a victim of his own weakness as he is of Iago.docx,3,0,1,0,2,0,0
othellonotesenglish.docx,6,0,5,0,0,1,0
Shakespeare.docx,11,6,1,0,1,3,0
ENGLISH LITERARY TECHNIQUES 2.docx,10,0,3,0,4,3,0
